visitor,home,time,channel,day
Buffalo,Rams,7:20 PM CDT,NBC,09/08/22,,
New Orleans,Atlanta,12:00 PM CDT,FOX,09/11/22,,
San Francisco,Chicago,12:00 PM CDT,FOX,09/11/22,,
Pittsburgh,Cincinnati,12:00 PM CDT,CBS,09/11/22,,
Philadelphia,Detroit,12:00 PM CDT,FOX,09/11/22,,
New England,Miami,12:00 PM CDT,CBS,09/11/22,,
Baltimore,Jets,12:00 PM CDT,CBS,09/11/22,,
Jacksonville,Washington,12:00 PM CDT,FOX,09/11/22,,
Cleveland,Carolina,12:00 PM CDT,CBS,09/11/22,,
Indianapolis,Houston,12:00 PM CDT,CBS,09/11/22,,
Giants,Tennessee,3:25 PM CDT,FOX,09/11/22,,
Green Bay,Minnesota,3:25 PM CDT,FOX,09/11/22,,
Kansas City,Arizona,3:25 PM CDT,CBS,09/11/22,,
Las Vegas,Chargers,3:25 PM CDT,CBS,09/11/22,,
Tampa Bay,Dallas,7:20 PM CDT,NBC,09/11/22,,
Denver,Seattle,7:15 PM CDT,ESPN,09/12/22,,
Chargers,Kansas City,7:15 PM CDT,PRIME,09/15/22,,
Jets,Cleveland,12:00 PM CDT,CBS,09/18/22,,
Washington,Detroit,12:00 PM CDT,FOX,09/18/22,,
Tampa Bay,New Orleans,12:00 PM CDT,FOX,09/18/22,,
Carolina,Giants,12:00 PM CDT,FOX,09/18/22,,
New England,Pittsburgh,12:00 PM CDT,CBS,09/18/22,,
Indianapolis,Jacksonville,12:00 PM CDT,CBS,09/18/22,,
Miami,Baltimore,12:00 PM CDT,CBS,09/18/22,,
Atlanta,Rams,3:05 PM CDT,FOX,09/18/22,,
Seattle,San Francisco,3:05 PM CDT,FOX,09/18/22,,
Cincinnati,Dallas,3:25 PM CDT,CBS,09/18/22,,
Houston,Denver,3:25 PM CDT,CBS,09/18/22,,
Arizona,Las Vegas,3:25 PM CDT,CBS,09/18/22,,
Chicago,Green Bay,7:20 PM CDT,NBC,09/18/22,,
Tennessee,Buffalo,6:15 PM CDT,ESPN,09/19/22,,
Minnesota,Philadelphia,7:30 PM CDT,ABC,09/19/22,,
Pittsburgh,Cleveland,7:15 PM CDT,PRIME,09/22/22,,
Houston,Chicago,12:00 PM CDT,CBS,09/25/22,,
Las Vegas,Tennessee,12:00 PM CDT,FOX,09/25/22,,
Kansas City,Indianapolis,12:00 PM CDT,CBS,09/25/22,,
Buffalo,Miami,12:00 PM CDT,CBS,09/25/22,,
Detroit,Minnesota,12:00 PM CDT,FOX,09/25/22,,
Baltimore,New England,12:00 PM CDT,FOX,09/25/22,,
Cincinnati,Jets,12:00 PM CDT,CBS,09/25/22,,
Philadelphia,Washington,12:00 PM CDT,FOX,09/25/22,,
New Orleans,Carolina,12:00 PM CDT,FOX,09/25/22,,
Jacksonville,Chargers,3:05 PM CDT,CBS,09/25/22,,
Rams,Arizona,3:25 PM CDT,FOX,09/25/22,,
Atlanta,Seattle,3:25 PM CDT,FOX,09/25/22,,
Green Bay,Tampa Bay,3:25 PM CDT,FOX,09/25/22,,
San Francisco,Denver,7:20 PM CDT,NBC,09/25/22,,
Dallas,Giants,7:15 PM CDT,ESPN,09/26/22,,
Miami,Cincinnati,7:15 PM CDT,PRIME,09/29/22,,
Minnesota,New Orleans,8:30 AM CDT,NFL NET,10/02/22,,
Cleveland,Atlanta,12:00 PM CDT,CBS,10/02/22,,
Washington,Dallas,12:00 PM CDT,FOX,10/02/22,,
Seattle,Detroit,12:00 PM CDT,FOX,10/02/22,,
Tennessee,Indianapolis,12:00 PM CDT,FOX,10/02/22,,
Chicago,Giants,12:00 PM CDT,FOX,10/02/22,,
Jacksonville,Philadelphia,12:00 PM CDT,CBS,10/02/22,,
Jets,Pittsburgh,12:00 PM CDT,CBS,10/02/22,,
Buffalo,Baltimore,12:00 PM CDT,CBS,10/02/22,,
Chargers,Houston,12:00 PM CDT,CBS,10/02/22,,
Arizona,Carolina,3:05 PM CDT,FOX,10/02/22,,
New England,Green Bay,3:25 PM CDT,CBS,10/02/22,,
Denver,Las Vegas,3:25 PM CDT,CBS,10/02/22,,
Kansas City,Tampa Bay,7:20 PM CDT,NBC,10/02/22,,
Rams,San Francisco,7:15 PM CDT,ESPN,10/03/22,,
Indianapolis,Denver,7:15 PM CDT,PRIME,10/06/22,,
Giants,Green Bay,8:30 AM,NFL NET,10/09/22,,
Pittsburgh,Buffalo,12:00 PM CDT,CBS,10/09/22,,
Chargers,Cleveland,12:00 PM CDT,CBS,10/09/22,,
Chicago,Minnesota,12:00 PM CDT,FOX,10/09/22,,
Detroit,New England,12:00 PM CDT,FOX,10/09/22,,
Seattle,New Orleans,12:00 PM CDT,FOX,10/09/22,,
Miami,Jets,12:00 PM CDT,CBS,10/09/22,,
Atlanta,Tampa Bay,12:00 PM CDT,FOX,10/09/22,,
Tennessee,Washington,12:00 PM CDT,CBS,10/09/22,,
Houston,Jacksonville,12:00 PM CDT,CBS,10/09/22,,
San Francisco,Carolina,3:05 PM CDT,CBS,10/09/22,,
Dallas,Rams,3:25 PM CDT,FOX,10/09/22,,
Philadelphia,Arizona,3:25 PM CDT,FOX,10/09/22,,
Cincinnati,Baltimore,7:20 PM CDT,NBC,10/09/22,,
Las Vegas,Kansas City,7:15 PM CDT,ESPN,10/10/22,,
Washington,Chicago,7:15 PM CDT,PRIME,10/13/22,,
San Francisco,Atlanta,12:00 PM CDT,FOX,10/16/22,,
New England,Cleveland,12:00 PM CDT,CBS,10/16/22,,
Jets,Green Bay,12:00 PM CDT,FOX,10/16/22,,
Jacksonville,Indianapolis,12:00 PM CDT,CBS,10/16/22,,
Minnesota,Miami,12:00 PM CDT,FOX,10/16/22,,
Cincinnati,New Orleans,12:00 PM CDT,CBS,10/16/22,,
Baltimore,Giants,12:00 PM CDT,CBS,10/16/22,,
Tampa Bay,Pittsburgh,12:00 PM CDT,FOX,10/16/22,,
Carolina,Rams,3:05 PM CDT,FOX,10/16/22,,
Arizona,Seattle,3:05 PM CDT,FOX,10/16/22,,
Buffalo,Kansas City,3:25 PM CDT,CBS,10/16/22,,
Dallas,Philadelphia,7:20 PM CDT,NBC,10/16/22,,
Denver,Chargers,7:15 PM CDT,ESPN,10/17/22,,
New Orleans,Arizona,7:15 PM CDT,PRIME,10/20/22,,
Atlanta,Cincinnati,12:00 PM CDT,FOX,10/23/22,,
Detroit,Dallas,12:00 PM CDT,CBS,10/23/22,,
Indianapolis,Tennessee,12:00 PM CDT,CBS,10/23/22,,
Green Bay,Washington,12:00 PM CDT,FOX,10/23/22,,
Tampa Bay,Carolina,12:00 PM CDT,FOX,10/23/22,,
Giants,Jacksonville,12:00 PM CDT,FOX,10/23/22,,
Cleveland,Baltimore,12:00 PM CDT,CBS,10/23/22,,
Jets,Denver,3:05 PM CDT,CBS,10/23/22,,
Houston,Las Vegas,3:05 PM CDT,CBS,10/23/22,,
Seattle,Chargers,3:25 PM CDT,FOX,10/23/22,,
Kansas City,San Francisco,3:25 PM CDT,FOX,10/23/22,,
Pittsburgh,Miami,7:20 PM CDT,NBC,10/23/22,,
Chicago,New England,7:15 PM CDT,ESPN,10/24/22,,
Baltimore,Tampa Bay,7:15 PM CDT,PRIME,10/27/22,,
